Season,Episode,Viewership
1,1,1.65
1,2,1.04
1,3,1.07
1,4,0.85
1,5,0.75
1,6,0.81
1,7,1.02
1,8,0.85
1,9,0.84
1,10,0.61
1,11,0.68
1,12,0.80
1,13,0.93
2,1,2.06
2,2,1.33
2,3,1.25
2,4,1.07
2,5,1.47
2,6,1.46
2,7,1.67
2,8,1.87
2,9,1.60
2,10,1.30
2,11,1.50
2,12,1.40
2,13,1.75
3,1,2.76
3,2,1.90
3,3,1.61
3,4,1.51
3,5,1.75
3,6,1.57
3,7,1.73
3,8,1.91
3,9,1.53
3,10,1.61
3,11,1.72
3,12,1.78
3,13,2.32
4,1,2.92
4,2,2.47
4,3,2.22
4,4,2.05
4,5,2.19
4,6,2.04
4,7,2.17
4,8,2.31
4,9,2.29
4,10,2.12
4,11,2.06
4,12,2.23
4,13,2.44
5,1,3.54
5,2,2.94
5,3,2.75
5,4,2.69
5,5,2.66
5,6,2.31
5,7,2.29
5,8,2.13
5,9,1.92
5,10,2.07
5,11,2.41
5,12,2.70
6,1,3.37
6,2,2.66
6,3,2.40
6,4,2.38
6,5,2.45
6,6,2.36
6,7,2.16
6,8,1.88
6,9,2.45
6,10,2.17
6,11,2.06
6,12,2.69
7,1,2.27
7,2,1.89
7,3,2.02
7,4,2.14
7,5,1.86
7,6,1.93
7,7,1.94
7,8,2.27
7,9,1.97
7,10,1.87
7,11,1.77
7,12,1.79
7,13,1.87
7,14,3.29
